V4020,n,pct
(1) White,7712,42.579505300353354
(2) Black or African American,9193,50.75640459363958
(3) American Indian or Alaska Native,254,1.4023851590106007
(4) Asian,292,1.612190812720848
(5) Native Hawaiian or Other Pacific Islander,41,0.22636925795053003
NA,620,3.4231448763250882
